Date,time,id number
2023-05-05,16:59:27,"47599BA"
2023-05-05,17:03:06,"804FBA26"
2023-05-05,17:03:10,"804FBA26"
2023-05-05,17:03:31,"804FBA26"
2023-05-05,17:03:36,"47599BA"
2023-05-05,17:03:39,"47599BA"
2023-05-05,17:03:53,"845DD3"
2023-05-05,17:03:59,"804FBA26"
Date,time,id number
2023-05-10,07:57:25,"804FBA26"
2023-05-10,07:59:45,"804FBA26"
2023-05-10,07:59:50,"804FBA26"
2023-05-10,07:59:58,"845DD3"
2023-05-10,08:00:05,"47599BA"
2023-05-10,08:00:12,"845DD3"
2023-05-10,08:01:32,"804FBA26"
2023-05-10,08:01:36,"804FBA26"
